Id,Product Name,Energy (kcal),Total Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
9337,Coconut Milk,65,5.15,0.37,8.74,1.73,0.53,2.55,0.58,140
9338,Oat Milk,51,1.38,4.33,6.98,2.55,0.62,3.0,0.6,117
9339,Almond Milk,55,2.25,2.48,9.45,7.33,0.87,5.41,0.44,138
9340,Oat Milk,79,2.12,1.09,4.88,2.99,0.27,2.66,1.0,114
9341,Coconut Milk,50,4.42,1.45,11.98,1.48,0.38,7.8,0.25,138
9342,Soy Milk,77,2.9,4.36,10.77,0.64,0.36,1.7,0.26,133
9343,Coconut Milk,62,1.48,1.81,1.99,4.03,0.91,5.91,0.97,95
9344,Soy Milk,57,2.77,0.84,10.52,3.62,0.29,7.13,0.26,134
9345,2% Milk,75,7.98,1.67,5.39,1.17,0.8,4.73,0.45,101
9346,Coconut Milk,72,3.36,2.76,3.03,5.17,0.34,2.28,0.85,94
9347,Oat Milk,61,5.18,1.53,4.89,3.91,0.67,2.63,0.92,94
9348,Skim Milk,63,2.33,3.0,8.91,9.61,0.61,4.4,0.58,145
9349,2% Milk,69,7.5,3.79,5.06,3.61,0.57,1.16,0.53,146
9350,2% Milk,46,4.53,0.56,8.31,4.17,0.6,2.07,0.89,83
9351,Cashew Milk,80,7.82,3.37,4.33,0.56,0.87,3.63,0.35,147
9352,Soy Milk,52,6.34,3.22,10.18,8.89,0.26,4.08,0.68,91
9353,Coconut Milk,53,3.5,1.22,3.82,3.39,0.52,4.72,0.51,121
9354,Almond Milk,56,5.54,2.2,9.58,6.09,0.02,3.96,0.8,146
9355,Skim Milk,53,0.61,0.15,2.61,6.16,0.26,1.16,0.28,90
9356,2% Milk,49,3.64,0.96,1.52,1.92,0.73,2.74,0.83,121
9357,Coconut Milk,58,1.93,2.55,4.68,3.76,0.08,5.95,0.73,132
9358,Coconut Milk,62,5.92,1.04,10.68,3.82,0.7,5.19,0.18,143
9359,Almond Milk,71,0.61,2.21,1.62,8.77,0.07,5.06,0.86,112
9360,Whole Milk,72,5.98,0.79,7.19,0.64,0.2,7.0,0.23,103
9361,Soy Milk,48,4.82,0.47,6.85,6.16,0.89,6.43,0.3,127
9362,Oat Milk,53,2.18,0.59,8.78,1.22,0.07,5.07,0.59,123
9363,Oat Milk,58,7.3,1.94,3.53,7.61,0.8,7.8,0.69,149
9364,Whole Milk,61,2.45,4.39,2.95,5.31,0.32,1.18,0.23,113
9365,2% Milk,76,5.63,4.13,10.43,3.57,0.77,5.49,0.63,104
9366,Coconut Milk,48,1.09,1.93,2.11,4.01,0.14,7.53,0.97,82
9367,Oat Milk,69,3.1,2.99,4.1,6.71,0.7,4.15,0.03,143
9368,Oat Milk,64,0.55,4.04,10.03,7.59,0.92,7.33,0.93,109
9369,2% Milk,50,2.51,2.49,6.21,9.45,0.87,2.56,0.02,103
9370,Oat Milk,61,3.64,3.93,3.68,2.46,0.57,7.24,0.17,134
9371,Whole Milk,77,6.35,2.7,8.2,7.3,0.12,5.06,0.28,98
9372,2% Milk,57,2.19,3.71,5.06,8.78,0.01,2.37,0.68,86
9373,Whole Milk,65,6.05,3.39,7.77,0.91,0.14,3.55,0.21,83
9374,Soy Milk,44,4.9,2.87,4.78,7.7,0.12,5.83,1.0,109
9375,Skim Milk,51,4.18,2.8,8.03,4.64,0.87,5.11,0.9,144
9376,Whole Milk,70,0.73,1.52,7.76,5.71,0.53,7.32,0.91,142
9377,Whole Milk,79,2.65,4.4,6.1,5.58,0.53,2.37,0.36,142
9378,Whole Milk,78,1.54,2.38,11.02,1.02,0.81,5.54,0.35,122
9379,Cashew Milk,60,2.67,1.66,4.65,6.03,0.43,1.95,0.07,107
9380,Almond Milk,74,0.95,1.6,3.82,2.3,0.08,3.12,0.54,112
9381,2% Milk,58,7.27,0.19,2.43,4.05,0.98,5.64,0.9,91
9382,Coconut Milk,74,7.35,2.43,5.61,6.19,0.98,3.88,0.02,85
9383,Soy Milk,48,6.83,3.02,10.33,6.43,0.8,2.27,0.25,114
9384,Whole Milk,45,0.53,4.39,9.88,3.5,0.34,7.0,0.23,96
9385,Skim Milk,43,3.04,1.08,2.73,6.73,0.74,4.63,0.59,120
9386,Cashew Milk,77,3.1,1.27,6.05,5.3,0.13,7.8,0.67,99
9387,Whole Milk,51,1.47,0.67,5.28,4.8,0.91,6.47,0.02,93
9388,2% Milk,69,1.68,4.9,10.39,2.12,0.66,4.43,0.64,139
9389,Almond Milk,79,3.56,0.7,3.61,1.63,0.87,6.43,0.63,86
9390,Oat Milk,58,7.87,0.95,9.53,5.04,0.22,6.22,0.71,118
9391,2% Milk,52,3.9,4.88,8.93,3.87,0.22,2.37,0.86,117
9392,Oat Milk,69,0.9,4.85,10.14,7.88,0.67,1.38,0.58,92
9393,Cashew Milk,49,5.08,0.29,9.18,2.29,0.82,5.97,0.25,136
9394,Skim Milk,61,1.93,4.36,10.84,8.53,0.69,3.18,0.61,149
9395,2% Milk,62,1.68,4.03,10.24,1.42,0.02,7.81,0.53,136
9396,Oat Milk,69,7.12,3.07,1.16,7.34,0.48,2.24,0.57,102
9397,Almond Milk,52,2.87,1.95,6.37,8.59,0.5,6.25,0.96,99
9398,Whole Milk,47,3.37,0.69,7.56,4.59,0.21,6.21,0.9,97
9399,Almond Milk,44,1.48,3.43,6.46,7.84,0.47,1.58,0.22,133
9400,Oat Milk,40,5.82,2.9,9.5,2.53,0.55,5.06,0.52,116
9401,Whole Milk,49,4.42,1.28,9.98,9.42,0.12,7.29,0.6,100
9402,Whole Milk,72,2.44,1.44,1.23,7.71,0.43,4.44,0.4,84
9403,Soy Milk,75,3.52,1.51,7.14,9.17,0.06,3.5,0.91,87
9404,Cashew Milk,50,3.23,2.68,5.3,0.84,0.61,7.18,0.94,112
9405,Whole Milk,65,0.88,3.25,6.19,5.55,0.59,7.78,0.11,130
9406,Whole Milk,62,5.91,2.93,2.57,2.22,0.2,3.86,0.99,97
9407,Coconut Milk,51,7.16,0.37,11.23,0.86,0.12,5.74,0.85,88
9408,Almond Milk,57,7.79,0.22,2.79,4.86,0.46,7.57,0.77,108
9409,Coconut Milk,53,2.86,3.74,6.48,4.26,0.71,4.16,0.9,90
9410,2% Milk,40,6.91,2.47,11.22,3.63,0.68,3.01,0.08,122
9411,Cashew Milk,43,6.99,3.66,11.22,3.68,0.64,4.09,0.88,111
9412,Oat Milk,43,5.52,1.7,11.2,4.93,0.01,7.22,0.43,133
9413,Soy Milk,73,2.03,1.76,9.74,3.13,0.25,5.92,0.14,135
9414,2% Milk,44,2.76,1.0,8.1,7.88,0.49,2.35,0.28,149
9415,Almond Milk,62,1.52,0.4,11.09,4.78,0.03,3.38,0.52,87
9416,Whole Milk,63,7.08,1.35,5.55,8.33,0.65,6.39,0.05,118
9417,Almond Milk,70,5.09,4.48,6.45,4.77,0.04,6.37,0.91,123
9418,2% Milk,60,2.03,1.28,1.73,2.37,0.47,5.38,0.21,135
9419,Oat Milk,78,7.29,1.3,10.6,2.75,0.15,4.36,0.77,89
9420,Skim Milk,52,3.82,3.35,9.93,1.12,0.64,2.9,0.6,149
9421,Oat Milk,44,1.6,3.9,8.95,2.75,0.65,5.34,0.3,86
9422,Almond Milk,61,2.5,2.22,7.38,5.76,0.92,5.95,0.09,126
9423,Whole Milk,43,6.08,1.6,6.5,3.47,0.92,5.16,0.92,117
9424,Soy Milk,80,3.72,4.67,6.78,0.54,0.88,1.67,0.04,101
9425,Skim Milk,53,7.59,3.99,8.31,6.45,0.7,4.62,0.67,142
9426,2% Milk,40,7.93,0.54,3.09,0.79,0.25,7.3,1.0,105
9427,Cashew Milk,61,5.99,4.77,3.72,7.44,0.0,4.43,0.58,115
9428,2% Milk,68,7.8,0.72,8.5,2.71,0.59,3.61,0.73,90
9429,Almond Milk,78,5.5,4.1,4.88,7.85,0.14,2.31,0.56,101
9430,Oat Milk,65,1.72,4.68,5.84,3.07,0.4,4.55,0.61,109
9431,Coconut Milk,52,2.67,1.84,7.99,8.26,0.72,4.91,0.66,129
9432,Oat Milk,74,0.74,1.54,2.57,6.67,0.96,1.48,0.99,83
9433,2% Milk,62,4.65,3.32,11.44,9.43,0.66,4.26,0.48,132
9434,2% Milk,58,4.96,3.39,2.64,6.96,0.58,2.4,0.84,150
9435,Soy Milk,68,1.09,0.23,4.75,5.9,0.72,7.35,0.02,94
9436,Almond Milk,77,3.79,3.92,8.69,2.75,0.34,5.42,0.99,93
9437,Soy Milk,58,3.75,3.89,6.05,7.88,0.22,3.34,0.3,125
9438,Soy Milk,48,2.52,1.03,2.37,9.99,0.81,6.95,0.71,87
9439,Coconut Milk,42,1.45,2.73,5.3,6.47,0.21,5.69,0.17,129
9440,Coconut Milk,45,4.42,4.99,10.5,4.44,0.45,7.66,0.67,122
9441,Soy Milk,63,4.91,3.03,11.13,1.27,0.79,1.47,0.34,140
9442,Skim Milk,60,5.55,1.7,5.2,7.81,0.92,6.12,0.48,145
9443,Whole Milk,46,4.05,4.34,2.02,2.19,0.59,6.9,0.82,116
9444,Oat Milk,68,2.47,2.19,2.7,3.58,0.39,1.34,0.97,121
9445,Whole Milk,68,1.49,2.33,7.04,0.57,0.92,5.41,0.96,140
9446,Coconut Milk,79,1.21,4.81,10.89,4.87,0.06,1.17,0.41,115
9447,2% Milk,41,1.07,2.37,6.76,7.01,0.16,6.69,0.98,92
9448,Coconut Milk,70,4.02,4.61,3.28,3.59,0.34,3.14,0.82,125
9449,Coconut Milk,71,4.93,1.77,5.0,8.43,0.51,4.88,0.26,135
9450,2% Milk,65,4.14,3.79,9.38,7.18,0.39,2.38,0.26,141
9451,2% Milk,72,6.65,4.56,2.14,5.71,0.16,6.11,0.95,84
9452,2% Milk,56,7.93,4.15,6.75,1.34,0.81,2.25,0.01,149
9453,Cashew Milk,62,1.44,4.05,1.53,4.64,0.01,7.8,0.66,102
9454,Coconut Milk,67,0.66,0.65,3.18,6.71,0.24,7.05,0.99,147
9455,Oat Milk,53,3.44,0.61,9.58,6.56,0.7,6.02,0.08,108
9456,Soy Milk,65,6.12,1.12,2.73,4.35,0.43,7.27,0.7,90
9457,Oat Milk,63,5.5,3.99,7.45,9.72,0.62,6.94,0.58,116
9458,Oat Milk,60,6.16,2.77,10.45,6.17,0.84,2.73,0.84,124
9459,Whole Milk,55,3.23,1.07,7.96,0.91,0.67,2.86,0.04,108
9460,2% Milk,58,1.12,2.37,8.92,2.29,0.31,1.79,0.96,102
9461,Oat Milk,47,1.54,3.98,11.98,7.09,0.71,4.31,0.42,116
9462,Soy Milk,70,5.67,3.78,5.8,5.29,0.82,6.26,0.33,148
9463,Skim Milk,54,1.59,1.22,2.97,8.88,0.47,3.35,0.66,115
9464,2% Milk,56,5.09,0.28,2.37,4.25,0.77,1.36,0.97,86
9465,Whole Milk,79,1.14,3.32,8.36,2.96,0.61,7.07,0.45,89
9466,Whole Milk,42,0.85,4.4,2.08,3.02,0.78,1.37,0.97,144
9467,Almond Milk,48,2.98,0.49,4.27,3.64,0.13,7.03,0.83,136
9468,Almond Milk,66,4.26,1.07,8.46,6.93,0.54,1.81,0.42,130
9469,Soy Milk,51,2.12,3.75,11.73,9.6,0.27,5.35,0.73,80
9470,Soy Milk,77,4.3,0.49,1.4,8.97,0.24,4.97,0.01,88
9471,Coconut Milk,78,1.98,2.75,10.49,3.84,0.02,5.5,0.74,96
9472,Cashew Milk,42,2.56,3.84,8.62,1.34,0.36,6.39,0.18,116
9473,2% Milk,74,2.28,0.74,11.06,2.67,0.11,4.89,0.06,90
9474,Cashew Milk,62,4.54,2.0,6.47,8.75,0.62,5.05,0.92,140
9475,Cashew Milk,48,0.89,2.75,11.42,4.19,0.8,6.32,0.53,141
9476,Oat Milk,44,5.25,3.55,5.35,4.65,0.23,5.68,0.7,124
9477,Oat Milk,73,3.29,3.27,3.53,9.63,0.34,6.63,0.56,150
9478,Almond Milk,71,1.97,4.27,11.76,3.05,0.98,2.2,0.92,90
9479,Skim Milk,40,1.26,0.87,9.38,3.05,0.23,5.42,0.47,141
9480,Cashew Milk,78,4.16,1.4,5.25,7.06,0.22,3.25,0.46,126
9481,2% Milk,67,4.55,4.93,3.25,3.19,0.96,4.64,0.84,143
9482,Whole Milk,76,0.58,4.05,8.63,0.58,0.66,5.69,0.68,136
9483,Cashew Milk,78,1.13,0.17,5.35,4.34,0.94,2.0,0.9,140
9484,Cashew Milk,53,2.79,2.65,9.19,3.43,0.16,6.21,0.84,132
9485,Whole Milk,51,5.57,3.44,11.7,9.25,0.58,1.34,0.51,86
9486,Skim Milk,51,3.29,3.43,9.89,2.53,0.42,1.47,0.45,112
9487,Skim Milk,54,7.79,0.5,3.81,6.48,0.58,1.37,0.34,140
9488,Cashew Milk,75,6.38,3.19,4.11,8.73,0.14,7.21,0.88,118
9489,Coconut Milk,72,4.52,0.68,9.26,9.41,0.3,5.48,0.29,146
9490,Almond Milk,48,2.4,4.47,4.54,8.9,0.15,5.06,0.07,144
9491,Whole Milk,62,3.26,2.45,8.49,5.46,0.18,5.34,0.99,119
9492,Oat Milk,49,3.98,3.75,1.16,1.78,0.82,3.07,0.21,95
9493,Cashew Milk,62,4.53,1.22,8.87,6.14,0.92,4.15,0.81,134
9494,Almond Milk,45,5.02,1.78,1.78,5.2,0.29,1.36,0.34,109
9495,Cashew Milk,66,4.57,1.89,9.79,9.19,0.73,5.42,0.51,90
9496,Almond Milk,78,6.58,1.56,8.92,7.88,0.07,6.94,0.22,136
9497,2% Milk,48,0.95,3.25,9.31,2.13,0.6,2.5,0.03,82
9498,2% Milk,49,3.73,2.41,6.05,3.12,0.27,5.63,0.99,143
9499,Skim Milk,72,1.98,0.91,1.46,6.21,0.01,3.36,0.22,90
9500,2% Milk,41,0.97,3.65,11.87,0.52,0.29,5.42,0.41,138
9501,Cashew Milk,59,3.19,2.13,3.12,7.52,0.76,6.25,0.44,82
9502,Cashew Milk,67,3.26,0.12,6.62,2.27,0.42,1.39,0.9,95
9503,Cashew Milk,53,4.52,4.88,9.65,4.41,0.42,1.47,0.27,105
9504,Almond Milk,58,7.59,4.43,8.17,4.86,0.81,3.12,0.4,98
9505,Oat Milk,43,5.45,0.26,3.44,3.92,0.9,1.22,0.33,133
9506,Whole Milk,40,4.26,2.44,1.1,6.62,0.34,2.25,0.98,150
9507,Soy Milk,42,1.2,1.26,8.62,4.59,0.16,3.52,0.55,137
9508,Soy Milk,63,4.26,0.71,5.27,3.34,0.15,1.15,0.23,149
9509,Skim Milk,70,2.09,0.24,11.54,9.62,0.84,5.52,0.76,119
9510,Coconut Milk,71,5.72,1.59,4.48,0.86,0.06,7.39,0.79,111
9511,Coconut Milk,59,4.97,2.59,5.09,6.59,0.85,7.11,0.63,131
9512,Whole Milk,71,1.48,3.77,10.44,3.02,0.83,6.5,0.29,146
9513,Soy Milk,43,1.72,4.23,3.9,7.17,0.36,4.52,0.79,150
9514,2% Milk,74,1.83,2.25,2.49,5.2,0.35,6.31,0.84,142
9515,Soy Milk,46,0.83,0.76,6.55,3.88,0.62,3.64,0.93,101
9516,Almond Milk,79,7.64,2.72,5.09,5.46,0.54,7.69,1.0,103
9517,Oat Milk,80,2.79,3.9,1.41,2.6,0.67,3.07,0.44,108
9518,2% Milk,41,3.85,3.23,9.54,9.55,0.59,7.04,0.4,87
9519,Cashew Milk,69,3.93,1.57,8.83,1.12,0.33,2.27,0.15,92
9520,Coconut Milk,77,5.7,4.87,10.02,5.1,0.04,7.46,0.96,113
9521,2% Milk,43,6.81,1.7,10.43,4.66,0.81,1.48,0.34,126
9522,2% Milk,78,7.65,3.59,2.67,7.32,0.1,3.59,0.26,114
9523,Almond Milk,79,2.22,0.52,4.33,8.46,0.83,7.63,0.66,82
9524,Cashew Milk,65,2.64,1.91,1.84,6.53,0.18,4.27,0.98,112
9525,Oat Milk,61,3.35,2.54,3.64,9.11,0.82,3.23,0.62,145
9526,Soy Milk,80,5.64,2.83,8.27,8.91,0.06,4.0,0.44,124
9527,Skim Milk,65,6.73,4.7,7.74,2.18,0.12,3.97,0.8,139
9528,Oat Milk,74,6.46,0.81,7.11,9.95,0.03,5.58,0.79,102
9529,Almond Milk,79,3.57,4.31,7.12,0.78,0.49,3.15,0.36,101
9530,Coconut Milk,60,7.02,0.53,5.53,1.49,0.52,1.26,0.74,98
9531,Skim Milk,69,5.29,4.26,3.62,3.36,0.57,5.65,0.18,95
9532,Soy Milk,47,2.58,4.13,4.09,4.76,0.6,1.61,0.62,98
9533,Soy Milk,43,1.58,3.85,5.66,6.71,0.08,7.48,0.06,110
9534,Almond Milk,54,7.6,3.71,10.14,7.69,0.65,7.43,0.87,138
9535,Soy Milk,62,1.77,4.6,3.92,7.92,0.19,6.32,0.22,96
9536,2% Milk,61,3.51,0.55,7.43,2.79,0.22,7.02,0.39,131
9537,Coconut Milk,59,5.18,3.08,3.19,9.77,0.45,3.79,0.61,146
9538,2% Milk,51,1.04,3.96,8.96,1.91,0.59,7.89,0.83,108
9539,Skim Milk,50,6.87,1.45,11.58,5.47,0.5,6.04,0.04,145
9540,Cashew Milk,74,5.82,2.93,4.0,8.53,0.3,4.09,0.68,131
9541,Oat Milk,62,2.18,3.94,11.96,7.3,0.37,2.68,0.42,140
9542,Whole Milk,69,2.95,3.23,1.86,4.05,0.69,5.75,0.04,102
9543,Coconut Milk,44,3.36,4.37,8.52,7.33,0.57,1.04,0.56,121
9544,Cashew Milk,53,2.68,1.38,10.68,5.24,0.49,7.08,0.43,149
9545,Almond Milk,41,5.0,3.24,9.38,6.73,0.54,3.75,0.1,102
9546,Cashew Milk,45,4.28,1.62,3.98,4.3,0.71,7.1,0.17,99
9547,Almond Milk,75,1.79,2.23,11.03,6.16,0.35,6.78,0.44,97
9548,Whole Milk,68,5.88,4.78,1.08,4.39,0.66,3.03,0.09,111
9549,Oat Milk,49,6.81,4.34,4.25,9.7,0.97,3.58,0.37,107
9550,Cashew Milk,70,1.69,0.1,1.06,4.57,0.25,3.27,0.56,114
9551,Skim Milk,55,7.33,2.18,1.65,6.0,0.84,4.09,0.2,119
9552,Skim Milk,66,5.93,0.4,5.92,0.67,0.34,5.08,0.85,133
9553,Soy Milk,62,7.67,3.94,3.82,5.03,0.12,4.51,0.17,129
9554,Soy Milk,42,2.13,3.63,8.99,7.7,0.72,3.72,0.34,127
9555,Whole Milk,51,2.43,4.51,7.9,2.18,0.03,6.02,0.61,86
9556,Soy Milk,52,7.35,1.53,5.14,1.87,0.92,5.96,0.25,150
9557,Cashew Milk,42,1.97,2.45,8.15,9.9,0.38,1.68,0.98,97
9558,Cashew Milk,77,4.79,3.82,5.79,3.15,0.15,2.35,0.1,126
9559,Cashew Milk,48,7.45,4.48,10.21,8.36,0.94,6.48,0.6,89
9560,Coconut Milk,63,7.9,0.54,1.36,9.5,0.35,3.51,0.14,117
9561,Soy Milk,48,3.91,1.27,9.19,3.28,0.14,1.32,0.18,115
9562,Almond Milk,43,7.56,4.45,6.32,4.74,0.47,2.85,0.64,142
9563,Cashew Milk,71,7.72,0.52,10.73,6.75,0.86,4.38,0.42,92
9564,2% Milk,58,6.64,2.48,6.54,1.51,0.99,7.85,0.13,123
9565,Almond Milk,77,6.13,3.86,2.61,9.56,0.89,6.32,0.76,90
9566,Coconut Milk,63,1.12,1.25,2.58,3.92,0.38,3.11,0.47,141
9567,2% Milk,73,0.54,4.53,6.51,2.13,0.46,3.76,0.49,147
9568,Soy Milk,77,2.48,1.05,4.91,9.69,0.25,6.45,0.04,87
9569,Skim Milk,64,2.67,2.75,3.04,3.41,0.25,7.02,0.24,81
9570,Soy Milk,49,1.05,3.77,2.96,5.29,0.71,3.61,0.78,122
9571,Almond Milk,70,2.93,1.47,2.37,3.9,0.96,4.52,0.02,139
9572,Almond Milk,40,6.71,4.87,6.27,3.72,0.6,2.36,0.83,118
9573,2% Milk,64,1.15,3.2,11.89,1.66,0.48,2.23,0.85,145
9574,Soy Milk,49,7.81,3.61,11.04,4.71,0.62,2.52,0.21,120
9575,Coconut Milk,75,3.48,2.44,10.1,4.75,0.54,7.87,0.24,149
9576,Soy Milk,49,0.76,4.33,11.7,4.17,0.91,4.65,0.24,127
9577,Cashew Milk,68,3.05,4.59,9.16,7.33,0.14,5.57,0.37,123
9578,Skim Milk,78,3.72,3.09,5.64,7.54,0.72,6.6,0.98,132
9579,Almond Milk,46,1.02,4.6,8.91,7.8,0.42,6.1,0.79,91
9580,Oat Milk,45,2.28,1.08,7.89,8.44,0.88,5.52,0.46,94
9581,Cashew Milk,62,4.21,3.1,9.98,7.71,0.53,7.97,0.7,128
9582,Soy Milk,73,3.93,0.91,7.45,6.76,0.89,1.92,0.97,145
9583,2% Milk,53,1.73,3.75,5.92,8.98,0.85,4.05,0.64,97
9584,2% Milk,63,3.46,0.26,8.18,8.34,0.83,3.97,0.63,135
9585,2% Milk,51,7.82,3.77,9.15,2.8,0.25,5.24,0.03,124
9586,Skim Milk,60,5.97,1.63,4.51,6.95,0.16,7.41,0.64,82
9587,Cashew Milk,68,3.82,4.42,10.31,7.51,0.47,4.52,0.96,126
9588,2% Milk,63,5.65,1.27,1.8,5.03,0.88,5.66,0.15,143
9589,Soy Milk,63,0.95,0.36,4.6,9.42,0.74,2.92,0.45,150
9590,2% Milk,56,1.74,1.31,7.44,7.55,0.02,4.75,0.74,110
9591,Oat Milk,55,4.09,1.94,9.87,3.76,0.81,4.07,0.31,137
9592,Almond Milk,42,0.86,1.17,2.77,2.69,0.11,5.03,0.93,96
9593,Almond Milk,49,5.02,4.1,11.0,6.25,0.56,7.33,0.97,136
9594,Almond Milk,46,7.9,4.6,2.68,1.06,0.17,7.35,0.65,138
9595,Oat Milk,57,7.93,4.77,11.78,3.47,0.07,1.24,0.57,135
9596,Oat Milk,75,3.49,4.22,6.26,9.17,0.95,2.39,0.99,136
9597,Cashew Milk,68,6.15,3.65,8.28,1.44,0.43,5.48,0.29,115
9598,Cashew Milk,71,5.96,1.82,2.2,2.32,0.93,1.43,0.37,110
9599,Almond Milk,66,7.7,1.32,5.67,3.77,0.81,2.19,0.25,93
9600,Whole Milk,77,6.07,4.78,8.72,2.27,0.72,1.26,0.32,119
9601,Oat Milk,58,4.08,4.66,10.18,5.93,0.06,1.11,0.95,148
9602,Oat Milk,66,7.55,0.31,10.14,4.54,0.89,7.72,0.56,136
9603,2% Milk,57,5.81,3.76,1.57,7.35,0.93,3.86,0.85,91
9604,Soy Milk,44,6.54,0.82,6.42,1.65,0.06,7.46,0.03,134
9605,Skim Milk,44,7.17,1.23,6.4,4.27,0.34,2.68,0.6,147
9606,Coconut Milk,47,7.68,1.95,1.84,2.95,0.63,7.33,0.4,120
9607,Skim Milk,78,1.32,3.31,4.23,3.22,0.98,7.37,0.47,91
9608,Coconut Milk,70,5.97,1.75,6.51,4.37,0.96,3.54,0.96,84
9609,Coconut Milk,64,3.27,4.26,10.15,9.34,0.07,1.8,0.7,112
9610,Almond Milk,45,5.99,0.52,2.2,2.52,0.1,7.11,0.03,127
9611,Cashew Milk,78,5.09,0.68,11.28,2.98,0.4,5.56,0.61,112
9612,Soy Milk,63,1.8,0.86,2.76,4.72,0.71,1.22,0.37,106
9613,2% Milk,52,4.42,4.49,4.22,0.86,0.83,4.14,0.86,92
9614,Oat Milk,60,3.2,4.79,4.46,2.46,0.06,5.93,0.79,107
9615,Whole Milk,70,6.62,4.77,7.11,6.15,0.06,7.23,0.29,146
9616,Oat Milk,72,5.26,0.48,6.88,9.42,0.95,1.74,0.92,131
9617,Oat Milk,54,7.58,4.01,1.56,8.27,0.1,5.25,0.63,96
9618,Almond Milk,66,2.05,1.3,5.08,4.41,0.22,3.25,0.25,127
9619,2% Milk,62,3.62,3.61,7.34,6.88,0.69,6.28,0.59,123
9620,Whole Milk,44,2.49,3.62,5.91,6.72,0.88,7.44,0.69,118
9621,Skim Milk,55,7.88,1.24,2.43,5.58,0.69,6.3,0.19,142
9622,Oat Milk,66,4.26,3.8,11.24,8.7,0.03,6.15,0.06,136
9623,Soy Milk,49,5.82,2.75,7.49,2.34,0.61,5.01,0.92,97
9624,Skim Milk,50,2.35,3.31,2.02,4.0,0.46,7.87,0.06,136
9625,Almond Milk,61,1.71,4.21,9.68,6.62,0.5,3.07,0.53,104
9626,Whole Milk,74,6.64,3.33,9.42,5.67,0.07,3.97,0.44,136
9627,Oat Milk,77,6.52,3.41,5.27,2.59,0.67,4.92,0.82,147
9628,Whole Milk,43,3.52,0.6,6.63,5.15,0.2,3.53,0.37,113
9629,2% Milk,50,3.49,3.51,1.13,2.81,0.96,3.35,0.85,128
9630,Cashew Milk,42,1.05,3.96,6.06,6.2,0.28,7.07,0.94,86
9631,Soy Milk,72,1.21,3.51,5.02,1.41,0.68,5.82,0.69,119
9632,Coconut Milk,52,7.1,3.24,2.88,6.13,0.15,4.16,0.43,148
9633,2% Milk,54,4.5,4.89,3.92,9.66,0.86,6.96,0.04,138
9634,Oat Milk,59,4.14,3.16,7.55,9.97,0.13,6.47,0.57,125
9635,Skim Milk,47,2.18,2.85,5.6,4.42,0.18,3.52,0.43,137
9636,Skim Milk,67,4.72,2.3,4.13,1.01,0.84,7.31,0.82,139
9637,2% Milk,68,2.85,0.52,7.88,1.42,0.85,3.68,0.52,130
9638,Soy Milk,68,6.3,0.18,6.47,1.04,0.99,7.49,0.86,124
9639,Cashew Milk,72,4.01,4.99,6.76,7.34,0.52,3.09,0.02,93
9640,Oat Milk,44,4.37,4.37,2.04,3.25,0.94,6.82,0.89,100
9641,Whole Milk,50,7.65,0.48,4.12,5.78,0.57,7.29,0.23,93
9642,Coconut Milk,52,1.3,3.82,8.94,6.01,0.92,1.24,0.25,103
9643,2% Milk,60,1.6,1.49,2.47,3.32,0.11,3.75,0.03,91
9644,2% Milk,41,5.95,3.16,2.79,1.69,0.77,7.2,0.77,89
9645,Skim Milk,41,5.25,4.45,8.18,5.41,0.69,3.82,0.43,140
9646,Oat Milk,70,4.8,3.66,11.9,2.04,0.76,2.78,0.37,91
9647,Skim Milk,64,1.63,0.94,5.67,2.06,0.31,7.64,0.19,104
9648,Soy Milk,45,0.97,1.04,6.19,2.31,0.99,4.39,0.6,80
9649,Almond Milk,41,7.36,1.16,7.95,9.5,0.04,5.87,0.51,99
9650,Whole Milk,69,4.46,0.54,8.98,8.17,0.24,4.98,0.76,109
9651,2% Milk,79,3.54,2.69,6.67,4.21,0.07,3.75,0.1,124
9652,Cashew Milk,69,1.85,1.71,3.6,4.32,0.07,4.13,0.81,80
9653,2% Milk,41,7.02,4.39,3.75,5.15,0.93,6.56,0.56,147
9654,Cashew Milk,60,3.15,4.32,9.86,2.68,0.11,3.35,0.96,126
9655,Oat Milk,78,2.83,2.0,8.51,4.73,0.67,6.87,0.43,102
9656,Coconut Milk,79,2.24,2.63,7.78,6.2,0.88,7.76,0.54,85
9657,Almond Milk,52,4.79,4.15,8.89,9.63,0.65,3.39,0.51,106
9658,2% Milk,77,7.54,4.81,4.43,6.44,0.99,1.09,0.59,111
9659,Cashew Milk,76,7.94,3.74,10.51,1.2,0.86,4.88,0.59,140
9660,Skim Milk,63,6.91,1.72,8.66,9.41,0.23,5.81,0.43,106
9661,Oat Milk,64,7.73,1.24,9.39,6.33,0.08,7.52,0.11,97
9662,Coconut Milk,68,1.56,3.67,8.7,3.93,0.57,3.58,0.05,139
9663,Almond Milk,57,3.97,3.7,6.08,2.38,0.17,3.08,0.86,127
9664,Almond Milk,45,7.24,3.67,4.85,7.75,0.83,2.35,0.56,113
9665,Skim Milk,56,4.27,3.27,3.55,1.19,0.8,2.59,0.88,141
9666,Coconut Milk,61,7.65,3.73,10.48,2.37,0.12,5.57,0.73,130
